"","names(spss_meta)","NA_values","NA_percent"
"54","locratio",186,84.1628959276018
"57","CA23ratio",118,53.393665158371
"58","CA4ratio",117,52.9411764705882
"56","CA1ratio",117,52.9411764705882
"55","subratio",117,52.9411764705882
"62","cogdecage",84,38.0090497737557
"60","AT8crest",45,20.3619909502262
"59","AT8sulcus",43,19.4570135746606
"61","agecogsx",40,18.0995475113122
"2","apoe",37,16.7420814479638
"3","footyrs",36,16.289592760181
"65","disdur",34,15.3846153846154
"63","mincogage",33,14.9321266968326
"66","sport",20,9.04977375565611
"5","totyrs",19,8.5972850678733
"4","AFE",19,8.5972850678733
"9","nphemo",10,4.52488687782805
"49","CTEStage",9,4.07239819004525
"51","micsuptemp",8,3.61990950226244
"50","micdorfront",8,3.61990950226244
"47","PathPrion",8,3.61990950226244
"46","PathMND",8,3.61990950226244
"45","PathFTD",8,3.61990950226244
"41","npoftd",8,3.61990950226244
"38","npftdt9",8,3.61990950226244
"37","npftdt8",8,3.61990950226244
"33","npftdt2",8,3.61990950226244
"29","nppath6",8,3.61990950226244
"28","nppath",8,3.61990950226244
"14","npadnc",8,3.61990950226244
"39","npftdt10",7,3.16742081447964
"36","npftdt5",7,3.16742081447964
"64","suicide",6,2.71493212669683
"7","cod",6,2.71493212669683
"52","micinfpar",3,1.35746606334842
"15","npdiff",3,1.35746606334842
"11","npwmr",3,1.35746606334842
"10","npavas",3,1.35746606334842
"67","Group",2,0.904977375565611
"53","micalc",2,0.904977375565611
"48","CTE",2,0.904977375565611
"43","PathAD",2,0.904977375565611
"27","nparter",2,0.904977375565611
"21","npold4",2,0.904977375565611
"44","PathLBD",1,0.452488687782805
"42","agedeath",1,0.452488687782805
"40","npftdtdp",1,0.452488687782805
"35","npprog",1,0.452488687782805
"34","npcort",1,0.452488687782805
"32","nppick",1,0.452488687782805
"31","npftdtau",1,0.452488687782805
"30","nplbod",1,0.452488687782805
"26","npoldd4",1,0.452488687782805
"25","npoldd3",1,0.452488687782805
"24","npoldd2",1,0.452488687782805
"23","npoldd1",1,0.452488687782805
"22","npoldd",1,0.452488687782805
"20","npold3",1,0.452488687782805
"19","npold2",1,0.452488687782805
"18","npold1",1,0.452488687782805
"17","npold",1,0.452488687782805
"16","npamy",1,0.452488687782805
"13","npneur",1,0.452488687782805
"12","npbraak",1,0.452488687782805
"6","race",1,0.452488687782805
"69","rs3173615",0,0
"68","rs1990622",0,0
"8","DementiaHx",0,0
"1","subjid",0,0
