"","subjid"
"1","BVAX135"
"2","BVAX136"
"3","BVAX140"
"4","BVAX258"
"5","BVAX288"
"6","BVAX363"
"7","BVAX81"
"8","K-0002"
"9","K-0018"
"10","K-0021"
"11","K-0037"
"12","K-0038"
"13","K-0039"
"14","K-0049"
"15","K-0053"
"16","K-0057"
"17","K-0063"
"18","K-0066"
"19","K-0067"
"20","K-0068"
"21","K-0072"
"22","K-0075"
"23","K-0077"
"24","K-0078"
"25","K-0082"
"26","K-0083"
"27","K-0084"
"28","K-0085"
"29","K-0086"
"30","K-0088"
"31","K-0093"
"32","K-0103"
"33","K-0105"
"34","K-0107"
"35","K-0119"
"36","K-0122"
"37","K-0125"
"38","K-0133"
"39","K-0138"
"40","K-0140"
"41","K-0148"
"42","K-0177"
"43","K-0183"
"44","K-0204"
"45","K-0220"
"46","K-0290"
"47","K-0302"
"48","K-0304"
"49","K-0307"
"50","K-0309"
"51","K-0310"
"52","K-0312"
"53","K-0316"
"54","K-0322"
"55","K-0327"
"56","K-0330"
"57","K-0334"
"58","K-0335"
"59","K-0340"
"60","K-0341"
"61","K-0348"
"62","K-0349"
"63","K-0352"
"64","K-0353"
"65","K-0356"
"66","K-0362"
"67","K-0364"
"68","K-0365"
"69","K-0366"
"70","K-0367"
"71","K-0368"
"72","K-0370"
"73","K-0375"
"74","K-0377"
"75","K-0378"
"76","K-0379"
"77","K-0389"
"78","K-0393"
"79","K-0397"
"80","K-0402"
"81","K-0408"
"82","K-0419"
"83","K-0429"
"84","K-0432"
"85","K-0437"
"86","K-0458"
"87","K-0459"
"88","K-0460"
"89","K-0461"
"90","K-0464"
"91","K-0467"
"92","K-0483"
"93","K-0487"
"94","K-0489"
"95","K-0505"
"96","K-0513"
"97","K-0522"
"98","K-0536"
"99","K-0540"
"100","K-0543"
"101","K-0545"
"102","K-0547"
"103","K-0548"
"104","K-0551"
"105","K-0553"
"106","K-0554"
"107","K-0559"
"108","K-0560"
"109","K-0562"
"110","K-0570"
"111","K-0571"
"112","K-0578"
"113","K-0579"
"114","K-0580"
"115","K-0587"
"116","K-0589"
"117","K-0591"
"118","K-0594"
"119","K-0601"
"120","K-0606"
"121","K-0610"
"122","K-0611"
"123","K-0617"
"124","K-0620"
"125","K-0622"
"126","K-0625"
"127","K-0665"
"128","K-0666"
"129","K-0669"
"130","K-0670"
"131","K-0673"
"132","K-0688"
"133","K-0690"
"134","K-0691"
"135","K-0695"
"136","K-0696"
"137","K-0700"
"138","K-0703"
"139","K-0706"
"140","K-0711"
"141","K-0712"
"142","K-0726"
"143","K-0729"
"144","K-0735"
"145","K-0742"
"146","K-0743"
"147","K-0750"
"148","K-0755"
"149","K-0756"
"150","K-0757"
"151","K-0758"
"152","K-0763"
"153","K-0772"
"154","K-0774"
"155","K-0775"
"156","K-0780"
"157","K-0794"
"158","K-0795"
"159","K-0805"
"160","K-0806"
"161","K-0812"
"162","K-0814"
"163","K-0818"
"164","K-0826"
"165","K-0828"
"166","K-0833"
"167","K-0837"
"168","K-0844"
"169","K-0845"
"170","K-0847"
"171","K-0853"
"172","K-0872"
"173","K-0875"
"174","K-0876"
"175","K-0877"
"176","K-0879"
"177","K-0880"
"178","K-0887"
"179","K-0892"
"180","K-0903"
"181","K-0930"
"182","K-0931"
"183","K-0954"
"184","SLI-106"
"185","SLI-107"
"186","SLI-111"
"187","SLI-115"
"188","SLI-116"
"189","SLI-117"
"190","SLI-120"
"191","SLI-121"
"192","SLI-128"
"193","SLI-130"
"194","SLI-132"
"195","SLI-138"
"196","SLI-141"
"197","SLI-151"
"198","SLI-154"
"199","SLI-156"
"200","SLI-16"
"201","SLI-161"
"202","SLI-164"
"203","SLI-166"
"204","SLI-167"
"205","SLI-169"
"206","SLI-170"
"207","SLI-171"
"208","SLI-172"
"209","SLI-173"
"210","SLI-177"
"211","SLI-184"
"212","SLI-185"
"213","SLI-20"
"214","SLI-203"
"215","SLI-23"
"216","SLI-73"
"217","SLI-79"
"218","SLI-84"
"219","SLI-85"
"220","SLI-89"
"221","SLI-96"
